ref,flame-moe,flame-moe,flame-moe,flame-moe,flame-moe,olmoe,flame-moe,qwen3,qwen3,Status:,Notes:
Active params,38M,100M,290M,290M ,600M,1B,1.7B,3B,22B,WIP,Attn formula: model_dim * (head_dim * num_heads + head_dim * num_kv_heads) + head_dim*num_heads*model_dim + bias + qk_norm
Total params,100M,350M,1.3B,2B,3.5B,7B,10.3B,30B,235B,,"""flame-moe"" refers to model size array from the paper, but architecture is matches QWEN3. Changes to flame-moe: omit shared experts and standard dense input layer"
,,,,,,,,,,,
Total experts,64,64,64,64,64,64,64,128,128,,
Active experts,8,8,8,8,8,8,8,8,8,,
,,open-sci-ref,,,,open-sci-ref,,,,,
Vocab Dim,50000,50000,50000,50000,50000,50000,50000,50000,50000,,
Model Dim,256,512,1024,1024,1536,2048,2048,2048,4096,,
Heads,16,16,16,16,16,16,16,32,64,,
kv_heads,16,16,16,16,16,16,16,4,4,,
,,,,,,,,,,,
Layers,9,9,9,14,12,16,18,48,94,,
FFN Factor,0,0,0,0,0,0,0,0,0,,
FFN Dim,,,,,,,,,,,
MoE FFN FACTOR,"0,6875","0,6875","0,6875","0,65625","0,6875","0,5","0,6875","0,375","0,375",,
MoE FFN Dim,176,352,704,672,1056,1024,1408,768,1536,,
GLU,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
Bias,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,
QK Norm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
Tie Embedding,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,,,,,,,,,,,
Attn Params,263.680,1.051.648,4.200.448,4.200.448,9.446.400,16.789.504,16.781.312,18.886.656,71.311.360,,
MLP Params,8.716.288,34.734.080,138.674.176,132.382.720,311.820.288,403.177.472,553.648.128,605.028.352,2.415.919.104,,
Total Layer,8.979.968,35.785.728,142.874.624,136.583.168,321.266.688,419.966.976,570.429.440,623.915.008,2.487.230.464,,
Active ratio / layer,"15,07%","15,07%","15,07%","15,19%","15,07%","16,00%","15,07%","9,09%","8,94%",,
,,,,,,,,,,,
Total Blocks,80.819.712,322.071.552,1.285.871.616,1.912.164.352,3.855.200.256,6.719.471.616,10.267.729.920,29.947.920.384,233.799.663.616,,
Embeddings ,12.800.000,25.600.000,51.200.000,51.200.000,76.800.000,204.800.000,204.800.000,204.800.000,409.600.000,,
,,,,,,,,,,,
Active params (emb incl.),24.978.944,74.140.672,245.012.480,341.676.032,657.887.232,1.279.787.008,1.752.571.904,2.926.444.544,21.306.392.576,,
Total,93.619.712,347.671.552,1.337.071.616,1.963.364.352,3.932.000.256,6.924.271.616,10.472.529.920,30.152.720.384,234.209.263.616,,
,,,,,,,,,,,
Active Ratio,"26,68%","21,32%","18,32%","17,40%","16,73%","18,48%","16,73%","9,71%","9,10%",,
Embedding Ratio,"13,67%","7,36%","3,83%","2,61%","1,95%","2,96%","1,96%","0,68%","0,17%","<-- needs to be set explicitly, --kv_channels in Megatron-LM",
Head Dim,16,32,64,64,96,128,128,128,128,,